Time(Iteration),EpsilonGreedyLinearBandit,UpperConfidenceBoundLinearBandit,ThompsonSamplingLinearBandit
486,41.081880881957524,41.22933867512454,18.367698644101434
43,9.004848110142714,17.545373206735725,11.804161520413382
487,41.134537544525706,41.23888328560065,18.38017355999483
44,9.297756438517396,17.97737658488701,11.814079620982536
488,41.24409818317506,41.23916560783097,18.389093938936604
45,9.4199980728525,18.341050228622997,11.97761892793164
46,9.480688712628687,18.619211428668162,12.058403133877588
489,41.24622148251872,41.23977110996849,18.389093938936604
490,41.24622148251872,41.23977110996849,18.389093938936604
491,41.27520930909354,41.23977110996849,18.392525282551908
492,41.32681796059511,41.24315576833058,18.412900250925112
47,9.56162873180546,19.08992490056803,12.162549150186603
48,9.577091594689696,19.542428121885433,12.201630300283941
49,9.64186771180312,19.949209322764386,12.237616486719876
50,9.815664880642647,20.373114042542706,12.259772860889832
51,9.858140724740641,20.782873259623496,12.30025536562278
52,9.971186357210739,21.136471518600402,12.324155231643296
53,10.263149992710122,21.619291126184642,12.400724044757416
54,10.449202131278934,22.01700886890867,12.419206872720538
55,10.542121983669034,22.433118148549706,12.522933340259076
493,41.469505842589356,41.24315576833058,18.413200470693248
494,41.470284315032416,41.254362492777126,18.41548013665575
495,41.51947115019991,41.255510363847826,18.417005951449852
56,10.640819419942002,22.810285114688572,12.574159535369168
496,41.51947115019991,41.25898744313293,18.417005951449852
497,41.57254250116647,41.26830801189929,18.420186535430144
57,10.741347850923429,23.120408774644993,12.57710347661215
58,10.79645858803505,23.445813310521554,12.621869930770693
498,41.57467128504252,41.26830801189929,18.42083875344663
59,10.901348394235544,23.9029468750641,12.707447030005776
60,10.993248346705567,24.27757721359078,12.750772790054137
499,41.63238826145533,41.27239059332191,18.42144425558415
61,11.138333789910567,24.702708591378546,12.753954163946057
500,41.633367447739154,41.27892679888902,18.427178372698624
62,11.212127263180975,25.11172857988887,12.761847531584895
501,41.685242344431416,41.27956700480455,18.427178372698624
63,11.253862421458287,25.514149155190914,12.78341117134715
502,41.737878765305474,41.28117918234683,18.436133998296967
64,11.475426092061888,25.96736323003045,12.805677630023677
65,11.577861525617623,26.4655733407122,12.816854474391437
503,41.9577009041938,41.28337371377235,18.4372772021763
66,11.7682450423023,26.83819119306064,12.825902126630918
67,11.886212687789747,27.2825464765018,12.891283684566151
504,42.02191130676449,41.28942606356672,18.4372772021763
505,42.04269021149197,41.300266128019686,18.45608021738081
68,12.03873438929769,27.759657492793565,12.963936957459884
506,42.04269021149197,41.300266128019686,18.45750038940136
69,12.173292508576445,28.128943088830916,12.982479068351035
507,42.12790015737729,41.300266128019686,18.45750038940136
70,12.238737731083177,28.507420500497403,13.03922343251688
508,42.17130524816717,41.300266128019686,18.45750038940136
71,12.388290474955998,28.920950628607766,13.062860004781086
509,42.24283560251537,41.30389429055001,18.466528666241548
72,12.427869763043429,29.454579387861184,13.094874094842405
510,42.288466169427586,41.30532010426742,18.466528666241548
73,12.62484838648259,29.88141932128633,13.103073219978322
511,42.2993505484207,41.30532010426742,18.47885074663014
74,12.858565803347563,30.3040367117085,13.113642298971332
512,42.42795126780051,41.310626982177666,18.490047814498187
75,12.926489174859551,30.715486548197248,13.179400691312406
76,12.975800530438395,31.149382398167717,13.196511854151515
513,42.428653630420776,41.31132934479793,18.490750177118457
77,13.129714017054358,31.556059175720133,13.254497521187242
78,13.177408431395918,31.869360203846462,13.309664904653918
514,42.53806524862424,41.322303772822906,18.490750177118457
79,13.394953050682904,32.28890514250256,13.32353295328528
515,42.54191738013816,41.33219570406754,18.493152549862682
516,42.57715687495052,41.334526044577174,18.49548289037232
80,13.469637888880744,32.738282404894704,13.361462209526826
517,42.63371696306395,41.334526044577174,18.505077824342777
81,13.560136554169267,33.08229811774446,13.37448406663133
