Time(Iteration),EpsilonGreedyLinearBandit,UpperConfidenceBoundLinearBandit,EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit
71,12.0129750471147,6.828697452329247,12.893561077759932,23.883561602344045,22.690832285866605
72,12.233452201091435,6.832123394981567,13.09347424376146,24.40788533978668,22.951271322970424
73,12.351801238430525,6.835549337633886,13.131226007338716,24.906212588289286,23.24154861036248
74,12.429929160861585,6.8389752802862045,13.179737273785994,25.118068081193098,23.525663758402825
75,12.565410393347452,6.847982152898629,13.316314946196417,25.34977981570712,23.72241034785531
76,12.70134490061773,6.851517691115845,13.43674034397796,25.511757543227617,24.026734062102516
77,12.812210377732026,6.854943633768164,13.519227095320222,25.663414713071063,24.29856757589705
78,12.907072844119392,6.8656903161354945,13.669468379359405,25.90686901200143,24.633080904762323
79,13.012411553346624,6.876436998502825,13.710768501656565,26.14908503934626,24.946690861733092
80,13.185687087561258,6.887183680870156,13.819065941001053,26.452849099597557,25.21390683831536
81,13.280334699198031,6.890609623522475,13.90875625584735,26.728195010232774,25.494574179187588
82,13.560164091033196,6.894035566174795,14.038113485849342,26.938154722459394,25.732643353096968
83,13.63482179311795,6.897461508827114,14.175550496753766,27.14890722260655,25.997997947654124
84,13.80469173252311,6.9008874514794325,14.330249285469375,27.38294115642119,26.380939154263235
85,13.980948884447841,6.904313394131752,14.377020742161744,27.637971660617676,26.663124867288115
86,14.196247671767631,6.907739336784071,14.46267252373804,27.909404802002882,26.958207278100087
87,14.274033374537543,6.911165279436391,14.624207175592229,28.14531748526003,27.28139023067057
88,14.38897714552813,6.920172152048815,14.712222323720875,28.455412095676024,27.584161039918182
89,14.462667752372022,6.923598094701134,14.84382832335589,28.786613204766503,27.778293922445318
90,14.615086294044719,6.927024037353453,14.918279654803538,29.13457381382844,28.070807289217385
91,14.723637615286169,6.930559575570669,15.005591504193376,29.422207793334586,28.459218771891614
92,14.794026209979474,6.937904726881831,15.082457387161323,29.81143250728825,28.66600963021542
93,14.937730917670942,6.946911599494255,15.21172539914527,30.155175207055443,28.91866805159488
94,15.03258435163689,6.967970513220479,15.304975152205472,30.533512041480616,29.229814377162484
95,15.102944471216759,6.971396455872798,15.347978247983022,30.86148710592991,29.45669666168833
96,15.140632900291312,6.974822398525117,15.431490337672798,31.1362141025749,29.804058572424896
97,15.214799782032333,6.978248341177436,15.61749433952535,31.516801578900434,30.041635279624774
98,15.322682573994589,6.981674283829756,15.784286519772426,31.747007441945158,30.33607672675031
99,15.406759586309036,6.985100226482075,15.9577291460971,32.084638276351896,30.573337790198273
100,15.505060298262759,6.988526169134394,16.00073224187465,32.31688104893244,30.847239813600346
101,15.558144435709403,6.991952111786714,16.040186978932294,32.62994743319029,31.06602510376457
