Time(Iteration),EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit,PHEMultiArmedBandit,thompson check
122,17.406809741578694,10.044108189297035,20.182894610814866,12.608426541933852,24.255679411173226
123,17.60023915761525,10.04996554560438,20.20300698627977,12.642445902011463,24.325371553638963
124,17.7451627517408,10.055822901911725,20.204968748896732,12.659787214134335,24.338338193425415
125,17.78737073413793,10.068666274336072,20.218231203234538,12.687892538080735,24.374383974195123
126,17.863175093364635,10.080892347630298,20.27905315006839,12.728930084360389,24.494517956609535
127,18.02669348653075,10.106999258166487,20.301282013700373,12.745291523426609,24.5243601302032
128,18.131132386624877,10.226589922907316,20.464666255768908,12.754218457965823,24.635790402023193
129,18.148473698747747,10.250874843046386,20.476892329063134,12.802271765059832,24.645175893230828
130,18.24729061889432,10.25802912423833,20.478854091680095,12.80913257483354,24.75240400926485
131,18.359491688269895,10.259682855565382,20.499924776295593,12.82396200999587,24.82637051705712
132,18.583715460578013,10.261336586892432,20.706539997699544,12.849153025487146,24.901069820592504
133,18.609145678261463,10.262990318219483,20.727457464253046,12.850156478953512,24.95434149838601
134,18.712288564126034,10.28102705251881,20.745426078151944,12.894153785764932,25.039375017790757
135,18.813857701720863,10.335982899179552,20.78485893255931,12.919379426422825,25.070232148429774
136,18.960782109271285,10.35615543336645,20.81124745939336,12.926240236196534,25.080575948788002
137,19.199215795416613,10.37632796755335,20.812901190720414,12.926935658372992,25.14247502290797
138,19.489147285214692,10.377023389729805,20.9222591541447,12.955928192871928,25.163370619444827
139,19.63515878115734,10.479329607336842,20.929325636441156,12.996979283129377,25.336384089169904
140,19.796314444869157,10.500942496066802,20.96598690324401,13.029117346769482,25.361814306853354
141,19.9287149684397,10.502596227393852,20.99860400145815,13.069923881801177,25.41827996152052
142,20.134250752997723,10.523717390779534,21.0826093065202,13.11159445045997,25.474815492939307
143,20.359339521994688,10.52441281295599,21.101292386026103,13.137410964170224,25.53231316856112
144,20.64326081630411,10.52606654428304,21.117538687007446,13.181103002550632,25.574396942816076
145,20.660985586659415,10.542727931395499,21.168253535997795,13.196138110235704,25.695085655309118
146,20.69320414428494,10.545385116188914,21.229711169969157,13.213457858452523,25.73182685825528
147,20.69320414428494,10.548042300982328,21.23066947911975,13.22065728396024,25.8107463756078
148,20.754344682559207,10.54969603230938,21.231627788270348,13.251944857951036,25.86648918051744
149,20.786623255774625,10.552353217102795,21.232586097420942,13.25983970563521,25.86814291184449
150,20.85485505547994,10.583421794470649,21.275452140523644,13.261538581278032,25.906571569425132
151,21.124378373357395,10.606521746449886,21.308629007299764,13.291801388871587,25.925566612875052
152,21.29936339122763,10.63581767047047,21.309587316450358,13.300654545706356,25.933122844825213
153,21.341571373624756,10.636513092646926,21.310545625600955,13.301612854856952,25.97958382364244
154,21.447559674296052,10.638211968289745,21.38465523625272,13.308473664630663,25.98123755496949
155,21.52465511032718,10.656248702589073,21.448469616355908,13.309477118097027,26.012398271907443
156,21.6176362333999,10.674668895120837,21.491635907903632,13.346743425801563,26.118731193218366
157,21.6176362333999,10.716545698168652,21.492594217054226,13.362869785848494,26.20815711224115
158,21.682576570187155,10.734444312689066,21.609710758474264,13.3707194892169,26.218546056915148
159,21.861982913684393,10.78146057273154,21.62297321281207,13.37241836485972,26.265743371563296
160,21.93233419403236,10.84931707028314,21.635199286106296,13.374072096186774,26.26840055635671
161,22.056113900978282,10.902793795647769,21.635199286106296,13.409669114422403,26.361670414636922
162,22.083120497426002,10.949169903112416,21.74458159408852,13.409669114422403,26.372296224818957
163,22.224026511814294,10.956931807585326,21.746235325415572,13.411367990065225,26.380191072503123
164,22.330668256252387,10.975003167051268,21.747193634566166,13.41232629921582,26.382848257296537
165,22.39149020308624,11.003439498372241,21.777658929327668,13.437838150470387,26.420243798418255
166,22.471382025196604,11.009296854679587,21.85846294811885,13.465232274660949,26.42290098321167
167,22.53449462458148,11.02152292797381,21.866224852591763,13.512820635273709,26.42555816800508
