Time(Iteration),EpsilonGreedyLinearBandit,UpperConfidenceBoundLinearBandit,ThompsonSamplingLinearBandit,EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit
89,17.428036513596943,11.522723083953727,32.03673012725526,22.37335784543526,35.94418439191732,35.470441063930664
90,17.522116631401644,11.523138139396115,32.445427061092865,22.667242254375402,36.425145191203534,35.73506850113128
91,17.80627121478424,11.523553194838504,32.87183201748278,22.75718201428005,36.78184922520004,36.00485657319365
92,18.109785951307952,11.523968250280893,33.16388025178053,22.928935675599643,37.08152377926993,36.29728776823171
93,18.29201852128614,11.523968250280893,33.45376211765791,23.07551775108526,37.416920753876376,36.6120405915089
94,18.436874108996363,11.527219747414993,33.767682059318666,23.099632211370302,37.70382784270397,36.92384431217671
95,18.577460034938976,11.527634802857381,34.18713570843826,23.129931997792813,38.180053524233635,37.21735512589845
96,18.666783170740686,11.552544204982226,34.4405885252074,23.249408270260197,38.6345461886828,37.47530152086987
97,18.76286321594445,11.552959260424615,34.75611339595397,23.36688647521604,39.16842068123408,37.75668995891824
98,18.81939715815609,11.553374315867003,35.01588375745447,23.54112722069145,39.431820152071225,38.02154991028065
99,18.945203372749496,11.553789371309392,35.34488868008183,23.66319286561727,39.718605377980985,38.41270376988349
100,19.043058305258647,11.553789371309392,35.53546041996363,23.769469407222655,40.06683988896054,38.76734331492292
101,19.268943295567404,11.554204426751781,35.789186778228675,23.836886889148126,40.46263795852164,39.14616282257735
102,19.344983431275317,11.55461948219417,36.030943398194125,23.90438090422294,40.87764509419758,39.53468852884066
103,19.392265913223433,11.55461948219417,36.39064952226805,23.92106505628813,41.24634162031047,39.838457464911954
104,19.589394322845195,11.55461948219417,36.63385886290304,24.115566219996765,41.590520525738576,40.20415011825942
105,19.751817022024827,11.55461948219417,36.91893603490878,24.17750910208443,42.03358974002305,40.40286779683583
106,19.853372233597014,11.55461948219417,37.17677397734442,24.307887115020634,42.390845038628925,40.592677339638946
107,19.966737844078104,11.55461948219417,37.50096960365835,24.405747073514824,42.63921160065941,40.901945540812235
108,20.118990458110126,11.55461948219417,37.79441776793762,24.593966382957696,43.01939933683031,41.0884885672046
109,20.262673706946128,11.555034537636558,38.08004026162706,24.63964010929538,43.35371358889228,41.27875596981957
110,20.477434124730507,11.555449593078947,38.438514322850054,24.731781364873697,43.718539882644706,41.62019469295562
111,20.661621563024248,11.555864648521336,38.68813518974463,24.786144574312615,44.12722730116244,41.97348588148473
112,20.82718879148321,11.556279703963725,38.89936076488523,24.90066395544082,44.51977864989872,42.34730541465641
113,20.936602999243814,11.556279703963725,39.13038046748462,25.01282769552934,44.96453794080712,42.703875270569085
114,21.043385268414106,11.556279703963725,39.45229860221004,25.083920589608013,45.25432907843036,42.831543611455636
115,21.1545812494626,11.556694759406113,39.68902181489678,25.1006047416732,45.60955852861272,43.111413902430215
116,21.201863731410715,11.574863564119797,39.9637947477099,25.207010656326812,45.91981813467255,43.378204890740065
117,21.2622459543102,11.574863564119797,40.32146696305095,25.482792919944806,46.339670890064255,43.65661047877276
118,21.404031716352875,11.575278619562186,40.5676127768063,25.624630219538126,46.71903889894171,44.01603088887986
119,21.49963085822828,11.575693675004574,40.84612749217732,25.76942123833448,47.158359584688355,44.44875598335399
120,21.599813494445545,11.578945172138674,41.00891492755387,25.93812913462558,47.48050252274707,44.70538596712974
121,21.725640048373215,11.582196669272774,41.212976376325216,26.088166082989964,47.86196388585901,44.98478758221497
122,21.801309293204753,11.582611724715163,41.39555824173434,26.119621426702803,48.26780337908417,45.31528213676259
123,21.901317333821105,11.583026780157551,41.63275728030251,26.352894860114827,48.56473611105662,45.47250046273889
124,22.001947365823433,11.58344183559994,41.92062740748061,26.415205038051152,48.936242523768,45.631004902822866
125,22.138238285833356,11.583856891042329,42.244975739657704,26.431889190116344,49.30315888771217,45.823500950525265
126,22.281219048885713,11.584271946484717,42.52969293211167,26.551328533191075,49.72111782642511,46.18404605962273
127,22.385778669165454,11.584687001927106,42.85378627645183,26.584827896323265,50.04783824117561,46.4774251486567
128,22.45609027715536,11.585102057369495,43.22516353903876,26.626546217020223,50.536720208946804,46.6916582140259
129,22.707709989168315,11.585517112811884,43.54889755232004,26.643230369085416,50.90374381162614,46.955018382801015
130,22.857282532080234,11.585932168254272,43.852496965253195,26.773128472258616,51.06838103691366,47.27396265571996
131,22.923787809966207,11.586347223696661,44.02203844526848,26.937059051516844,51.42734955797906,47.55014599058012
132,23.17625459406709,11.58676227913905,44.239917496973774,27.06912771582143,51.770638976842164,47.78320141789433
133,23.30964635397136,11.587177334581439,44.42844058336038,27.117206434502794,52.03694655553094,48.06012711575412
134,23.457665779764845,11.587592390023827,44.62204734857018,27.258560776205364,52.37708755920696,48.292214949276065
135,23.602359183612407,11.588007445466216,44.950086701552394,27.27524492827056,52.63166593319861,48.55827122584658
136,23.649641665560523,11.606591305622288,45.28378669051574,27.366481722883766,53.060838297063164,48.810180421880894
137,23.721958316140405,11.607006361064677,45.47829506870361,27.564200691507068,53.449231587353644,48.93529777818052
138,23.87718340632984,11.607421416507066,45.809687580670726,27.623886160097953,53.8425103587355,49.21702635419659
139,23.9778010357658,11.607836471949454,46.02018200618555,27.79682894231608,54.25888117895498,49.62334383530002
140,24.044922669764496,11.608251527391843,46.289250131881644,27.919995268391368,54.63378790419764,49.82069043435282
141,24.172086769379742,11.608666582834232,46.583984071895884,27.96146401722489,55.03054411439649,49.98490135542617
142,24.374136833124037,11.60908163827662,46.78388721830361,28.181653927453446,55.414503324289115,50.284910986833644
143,24.407942907714816,11.60949669371901,46.99641192250788,28.26991753200928,55.777463787901844,50.5108528412142
144,24.642001161185185,11.609911749161398,47.17029634598988,28.515354828180755,56.10541515694922,50.67938321431118
145,24.71700516653144,11.610326804603787,47.48082334330077,28.73759146217254,56.571723769175755,50.92472322605505
146,24.86802143982778,11.610741860046176,47.762516969559954,28.932590026045155,56.93039073393568,51.26906691075642
147,24.94787548362565,11.611156915488564,47.99971215968348,29.000754086260276,57.21743580330423,51.512909801537475
148,25.023709882895986,11.611571970930953,48.21452879219886,29.087317105882402,57.50668860554365,51.90458717694669
149,25.08810902203296,11.611987026373342,48.59879239519787,29.166511969836495,57.911678063216485,52.05133929363693
150,25.200712903623465,11.61240208181573,48.75000575987911,29.321570545225164,58.23481332381183,52.25407181059029
151,25.332689379753113,11.61281713725812,49.060764485565066,29.411376035122185,58.590874402351474,52.55280389241138
152,25.55502773694046,11.613232192700508,49.24817822748534,29.476649054930544,58.789981833841736,52.69927840758919
153,25.614575642542768,11.613647248142897,49.453633717356325,29.555862696121494,59.215823607546554,52.91314692587457
154,25.648381717133542,11.614062303585285,49.72131805424907,29.64476653073793,59.56080148732126,53.10682665605748
155,25.788958482694476,11.614477359027674,49.930542866348915,29.74997977607371,59.82555913308751,53.35724833285643
156,25.96272529159604,11.614892414470063,50.14929200867003,29.766663928138904,60.204525750351785,53.75763428806475
157,25.996531366186815,11.615307469912452,50.404132621693314,29.7833480802041,60.48784531585953,53.95369979566615
158,26.10766360914807,11.61572252535484,50.61699086923204,29.82153468076807,60.872541036402836,54.0763039400324
159,26.284260657335768,11.61613758079723,50.862562470064155,29.984556447207932,61.41150601180276,54.328734594822336
160,26.38147151229913,11.616552636239618,51.07980669787557,30.08581365562913,61.62799711195239,54.51887562438945
161,26.560723368876513,11.616967691682007,51.298434541995654,30.102497807694323,62.05285385736721,54.56405525051349
162,26.68484795823023,11.617382747124395,51.57046261811568,30.119181959759516,62.493969765349426,54.69515133432559
163,26.911593503153853,11.617797802566784,51.87031242557343,30.206589466573337,62.8677181478093,54.97978239689322
164,27.142424441790553,11.618212858009173,52.00675556104666,30.275674771414778,63.16837983509068,55.273157702502225
165,27.242701138455125,11.618627913451562,52.17317632865877,30.36216165321353,63.49504411833908,55.397839006709965
166,27.346478513890037,11.61904296889395,52.384591821970936,30.515363881735123,63.84686356703387,55.625317746998654
167,27.410173525835326,11.619458024336339,52.66065394806704,30.68118188482942,64.25559094448357,55.93490193302374
168,27.501256738757725,11.619873079778728,52.8774103722984,30.79581644679227,64.5964141520443,56.208576257017434
169,27.631060148034038,11.620288135221116,53.11947021374873,30.81250059885746,64.80409457578347,56.46769155523938
170,27.664866222624813,11.620703190663505,53.338676200561714,30.829184750922657,65.18714792089301,56.661728774666166
171,27.78683626195849,11.621118246105894,53.510851139023295,30.962082254373428,65.48901487474001,56.83503780415715
172,27.922724904003566,11.621533301548283,53.71654185558019,31.08142060121171,65.95149726039114,57.09102077759137
173,28.067656083012253,11.621948356990671,53.8949202183417,31.20123784111923,66.40912736278104,57.366402475169686
174,28.12892938638933,11.62236341243306,54.034807948364985,31.292713189324452,66.64582604905806,57.598771503338774
175,28.283209868029314,11.622778467875449,54.20326141666733,31.348792482143143,67.0696877066624,57.737722298421694
176,28.31701594262009,11.623193523317838,54.47736610242127,31.473979526216407,67.47800042356953,58.077364835827396
177,28.497764562233282,11.623608578760226,54.651280352908145,31.4906636782816,67.71231527740241,58.40360504583025
178,28.575263442321624,11.624023634202615,54.878585357582935,31.56732469312329,68.0287311562008,58.543572883462865
179,28.782046040803557,11.624438689645004,55.1254591981113,31.702973524638047,68.36660567322613,58.802674483501974
180,28.88186456089708,11.624853745087393,55.42826033349021,31.814281463033847,68.75596534096287,58.965825030652034
181,28.968384607461406,11.624853745087393,55.667163130471884,31.83096561509904,69.04095634298977,59.264972157269355
182,29.00219068205218,11.625268800529781,55.882811734939175,31.970249114946046,69.36872306135527,59.47887579044412
183,29.066589821189147,11.62568385597217,56.16217474626988,32.06022248249651,69.70469097969622,59.661289623565914
184,29.17386607998788,11.626098911414559,56.45408978123589,32.100375080274354,70.02040672081947,59.797663573380554
185,29.31513723080617,11.626513966856947,56.611400102254,32.13043106779691,70.38368848774144,60.01323548477028
186,29.399936055295477,11.626929022299336,56.75586259029008,32.27015753286368,70.71398228258573,60.15867191329657
187,29.49587385569874,11.627344077741725,56.88628682398554,32.3983901160817,71.00457200328947,60.332931853661364
188,29.662457831871865,11.630595574875825,57.14340140718103,32.47897024492626,71.31323200377736,60.43783654732432
189,29.89859395841463,11.631010630318213,57.34642570592733,32.51811601498217,71.71887849130151,60.49128024644167
190,30.050070130867493,11.631425685760602,57.55378657425361,32.69024474595216,72.07080192519858,60.616827335387214
191,30.13398049486135,11.631840741202991,57.67186946606414,32.76015694442793,72.41095674484683,60.81103677225362
192,30.167786569452126,11.63225579664538,57.85250603961057,32.80608242274526,72.80088273147612,60.93337406882527
193,30.201592644042897,11.632670852087768,58.19691285252607,32.86548342283957,73.20994867913606,61.19044979318869
194,30.397251513217906,11.633085907530157,58.42691598172011,32.96038048503251,73.61754144368017,61.52833310410536
195,30.536323059030405,11.633500962972546,58.6985726752942,33.084575901636796,73.94402169100411,61.683918450718394
196,30.629628920843352,11.633916018414935,58.98536649488316,33.10126005370199,74.31121064195338,61.84872413103069
197,30.729150177596445,11.633916018414935,59.16114172129644,33.20708170126862,74.66269974692275,62.11601167356584
198,30.817887339310538,11.634331073857323,59.29187759597612,33.44071603630977,75.01761616237465,62.28340319129008
199,30.851693413901312,11.634746129299712,59.53173214070476,33.46350205914725,75.39508840610374,62.46036890603332
200,30.885499488492087,11.634746129299712,59.82977157241866,33.59673837785314,75.62754316697587,62.671781272431645
201,30.95367932001377,11.634746129299712,60.09307233404685,33.67091510481137,75.94325215348871,62.78923342254025
202,31.1170630420355,11.634746129299712,60.33120596592471,33.73189191249731,76.29630347746483,62.84903888583133
203,31.31534540300288,11.634746129299712,60.57574254525493,33.84004981390542,76.56452542614028,63.02517875990293
204,31.349151477593654,11.634746129299712,60.8629755252426,33.962003590806944,76.97267447936244,63.33154786567163
205,31.38295755218443,11.6351611847421,60.94821528953461,34.08944463203138,77.22758943156629,63.43412881896889
206,31.431156045219144,11.63557624018449,61.15920965626915,34.117269705406414,77.56823039750807,63.573405519579595
207,31.604450018424057,11.635991295626878,61.4630472194235,34.14991005196239,77.90826216042386,63.68067531489205
208,31.807797019371122,11.636406351069267,61.743587078970904,34.216760905751094,78.32515996253238,63.83090401845318
209,31.928165393711566,11.636821406511656,61.90124126005016,34.23019356068219,78.59027773687228,63.924552780932245
210,32.06990629390499,11.637236461954044,62.161764763481656,34.34869460146712,79.02138802439168,63.998490801539255
211,32.173004572402526,11.637651517396433,62.30848483969248,34.42973415794939,79.4341546823558,64.19270996798261
212,32.24118440392421,11.638066572838822,62.62626926658957,34.48921478208758,79.71112791974467,64.36709979559414
213,32.294528473865206,11.63848162828121,62.79825079813262,34.657656624615775,80.00770416366498,64.4531495360415
214,32.404903319769176,11.6388966837236,63.0042963638729,34.78892224927559,80.4536502183171,64.53264686247903
215,32.47765787906116,11.639311739165988,63.180280331928884,34.9540920159017,80.82659655295848,64.71214603872586
216,32.575059285350896,11.639726794608377,63.28202735871025,35.09339876084813,81.11881219573942,64.86038721309895
217,32.78770495513323,11.640141850050766,63.412686546058374,35.20546282772387,81.3770372603085,64.91757323383004
218,32.84686960300501,11.640556905493154,63.66770113626451,35.25984255096497,81.60174908566223,65.00487391052536
219,32.88067567759579,11.640971960935543,63.79275494786617,35.31420576040389,81.93940112066498,65.2024155668947
220,33.000792838710794,11.641387016377932,63.99430847134033,35.46465072637459,82.22103854313447,65.27875669246382
221,33.10579914498582,11.64180207182032,64.43004864390028,35.59200329522531,82.56216164355662,65.38791627136357
222,33.17759648111966,11.64221712726271,64.57215976051654,35.73579756304378,82.94154719208805,65.4972281908089
223,33.285937782479834,11.642632182705098,64.82467189731771,35.849794561762145,83.36423745505013,65.7625610232358
224,33.404349911454574,11.643047238147487,64.9654579766172,35.959356677871696,83.72163489612265,65.88080977319815
225,33.52633471100473,11.643462293589876,65.10559643448947,35.97278933280279,83.97996221513026,66.13250771948641
226,33.71573164936284,11.643877349032264,65.27104388612379,36.02710916581619,84.41179897613358,66.31013973171954
227,33.77656699134585,11.644292404474653,65.4954382675293,36.07163413433511,84.75320453655846,66.51019267324827
228,33.85279529514021,11.644707459917042,65.77316164146045,36.19307001872879,85.03819317945673,66.64267435722203
