Time(Iteration),EpsilonGreedyLinearBanditTheta,UpperConfidenceBoundLinearBanditTheta,ThompsonSamplingLinearBanditTheta,PHELinearBanditTheta
206,0.0395153940814144,0.046810999954868024,0.10864734677639201,1.0
207,0.039032455024214194,0.04682212753099513,0.10247379088501232,1.0
208,0.03901740691916377,0.046659741930086554,0.12309579684141406,1.0
209,0.038464372806602566,0.04667591781656173,0.10875811591771171,1.0
210,0.03845503297455284,0.04665069687426868,0.13415407610756155,1.0
211,0.03839685533510058,0.04670709026953209,0.10741281678559264,1.0
212,0.03746775435203163,0.04670956716592502,0.09247264160592561,1.0
213,0.03747211351060801,0.04697970774593944,0.11538387621795368,1.0
214,0.037514816376790314,0.04710481868474546,0.12119007242461963,1.0
215,0.037547546319684474,0.04721087791869764,0.10380121420865718,1.0
216,0.038041479291235594,0.047350788952460594,0.1099533019426054,1.0
217,0.037150432856884574,0.04726406727587011,0.12774006822142464,1.0
218,0.03738475765995309,0.04731000786756668,0.09787866211376195,1.0
219,0.036844251615445536,0.04782200415760476,0.12394747761543656,1.0
220,0.03677356902324429,0.047577974146397486,0.10361871916596192,1.0
221,0.037620144574932964,0.04783020822748522,0.11979221899617325,1.0
222,0.03791230661769614,0.04762253152732408,0.1119173266822705,1.0
223,0.03809458811415145,0.04773075798396419,0.10432052724420257,1.0
224,0.03813478326012781,0.04788045922737903,0.1172079578316313,1.0
225,0.038312733674086434,0.047894727963830895,0.09776348456719472,1.0
226,0.03835798734924249,0.047955684671538476,0.0979232825069837,1.0
227,0.03832221762581705,0.047954098930970426,0.11664976145041413,1.0
228,0.038311010420362605,0.04780807727474991,0.11343993701628159,1.0
229,0.03838549115253993,0.0478730669602668,0.09820227084079229,1.0
230,0.03679394085703695,0.04783776095025423,0.11764456081630599,1.0
231,0.036339771060398096,0.047742178678841105,0.11325935810728423,1.0
232,0.036232807671783544,0.047541107011836996,0.09953531947647141,1.0
233,0.0358985764672566,0.047574508502782754,0.11706304595807263,1.0
234,0.03599525052252509,0.04753812925952024,0.09883593828872614,1.0
235,0.036031074675092395,0.047346573746130674,0.1012146505511466,1.0
236,0.03588103023548421,0.04733702575138156,0.10097938682554411,1.0
237,0.035567952037985226,0.04720127543150977,0.12982827560000978,1.0
238,0.03570151925067798,0.04700072963700479,0.11454876189111532,1.0
239,0.03582660324078893,0.04707560083734402,0.07999084270746988,1.0
240,0.03585880178399151,0.04698675767890084,0.09883265778469982,1.0
241,0.03581682388445521,0.04669356839519271,0.10680097963779529,1.0
242,0.03584645461496808,0.046786770958209496,0.09417496984253036,1.0
243,0.035809820998308,0.0467246301804406,0.08728056838766673,1.0
244,0.03585915580554712,0.046773658137350606,0.1149102543530002,1.0
245,0.03571066344491864,0.04661883498504689,0.09849819980672059,1.0
246,0.03566829772908812,0.0468389195886104,0.09401716184368826,1.0
247,0.03422500886272249,0.04658603182347396,0.1003700085354053,1.0
248,0.03418349015775968,0.0466431264201002,0.09958990820792515,1.0
249,0.03412185628887276,0.04657006085169885,0.10435748753963299,1.0
250,0.03404986682276533,0.04672741771141038,0.13061576254554608,1.0
251,0.03488447592761932,0.0462952477194539,0.08738841559974471,1.0
252,0.0335384616530154,0.04641008491977554,0.10335181297311072,1.0
253,0.03346918191566454,0.046160958161727675,0.1079235034224973,1.0
254,0.03370065126589435,0.045912269816836125,0.08269816420438295,1.0
255,0.03388387687986375,0.046078772941939614,0.15843799745572873,1.0
256,0.03402330595351231,0.04609134621464023,0.10045114905336298,1.0
257,0.0342156648038774,0.04599440616543465,0.10786901885319666,1.0
258,0.03347625163948016,0.04596748087270279,0.1233107565881328,1.0
259,0.03430356086160895,0.04587572418723526,0.12333217003408428,1.0
260,0.03432577448744183,0.04589780009300483,0.10321471890003464,1.0
261,0.03399050812361572,0.045773412183720774,0.09929887558209047,1.0
