Time(Iteration),EpsilonGreedyMultiArmedBandit,ThompsonSamplingMultiArmedBandit,Upperasdl;kj;ldkjf;lasdfasdfasdfa
118,20.908214542032702,39.035040823926245,41.82638556513287
119,21.03261941288561,39.24160878149622,42.1686352541565
120,21.128802558650836,39.48627768510413,42.536004255051516
121,21.25808680365602,39.74037015659284,42.72428699623414
122,21.39164947808481,40.020157972293354,42.87555199833897
123,21.436016821382644,40.27259364474788,43.269714827493694
124,21.55460190479834,40.51813665692116,43.68389549044586
125,21.73149541957826,40.84753478370474,44.12440715348176
126,21.888049108260002,41.05141007869691,44.40177527866556
127,22.037592117380658,41.33291753411122,44.67334652837496
128,22.161567739083388,41.631995128180954,44.9741826338618
129,22.34161725953064,41.81747065818705,45.32175999409376
130,22.38135793553179,41.98401103331861,45.578885952580706
131,22.528226038567034,42.243916571371585,45.83646594599288
132,22.645529604967447,42.507682960120555,46.18166705568072
133,22.734708467755446,42.73199846954797,46.51641224013327
134,22.807257661106103,42.97805111521258,46.858620042575
135,22.958880441455257,43.20421107037583,47.15624783727295
136,23.03078327488425,43.47989350812614,47.437302957921894
137,23.186937526107403,43.69300118075918,47.8005151979016
138,23.253276267409248,44.031089685043305,48.08426225473273
139,23.47317260201541,44.23351807991486,48.43772600300775
140,23.562728308056727,44.513091268173056,48.68321614394576
141,23.63408513068106,44.84674804071249,49.058122553561724
142,23.85754258699887,45.04502096703844,49.35832831072255
143,23.9331866025491,45.256318666940366,49.62310286909696
144,24.012946690676337,45.49553726971291,49.86477214869178
145,24.09565105096394,45.83398458723077,50.251647970524445
146,24.262364501786102,46.15823483921416,50.463231741748864
147,24.363660749013242,46.32939194898127,50.806456829266224
148,24.45707917722341,46.66643611768293,51.22612696430497
149,24.517492151372007,46.90487906580062,51.542877864936926
150,24.716142989674196,47.23409456401406,51.796331912768245
151,24.855246152321826,47.446534442710956,52.14090292745601
152,24.99239114345081,47.73417370396463,52.48090474388805
153,25.09949374458,47.86530050897417,52.75582253905046
154,25.136501298806273,48.04631051179138,53.113677897197455
155,25.176106044876338,48.19280363535995,53.497064735673675
156,25.27229621836944,48.31949815084048,53.89417910735604
157,25.48571699026802,48.61589060629083,54.248611249374086
158,25.617327587451825,48.91189013564912,54.42125358531719
159,25.68452454112143,49.17889798819117,54.664613853527705
160,25.77906496823162,49.54076658010852,54.913941095522375
161,25.867313586526176,49.698367017255876,55.25792644768019
162,25.904321140752455,49.98546528196103,55.65798699788386
163,25.941328694978733,50.25244549178731,55.96684106958369
164,26.03077133264291,50.5418589850859,56.30887769972431
165,26.168714554078377,50.74859991859822,56.59012256236355
166,26.322663998555765,51.08792668783056,56.85857261431154
167,26.435319488072803,51.360443359411214,57.16919376563345
168,26.498350422412177,51.554927701165205,57.43673333831922
169,26.680879604353958,51.778203150586606,57.79198114529422
170,26.786861345752563,52.04058241114749,58.07991862105056
171,26.82386889997884,52.30425502207481,58.36726719347206
172,26.918015617221425,52.55744481920093,58.63615202770666
173,26.965696473130095,52.86606889164257,58.94195413556381
174,27.027858365508923,53.072591693871324,59.12711759140673
175,27.0648659197352,53.41080414236401,59.40788008492275
