Time(Iteration),EpsilonGreedyLinearBandit,UpperConfidenceBoundLinearBandit,ThompsonSamplingLinearBandit,EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit,PHEMultiArmedBandit
38,9.35787963553204,10.300403002736312,10.930812111254998,8.840866467917765,12.215711032903931,14.590492035689627,13.504632820831645
39,9.563464511849784,10.306025213626988,10.976429853594086,9.047906824840021,12.418830019230993,14.95592126540068,13.860011552861426
1396,81.71248234053962,12.220517688279227,14.98222031350745,90.02069134460845,62.16591201175587,76.92576132820837,51.421299516311635
40,9.6289718926915,10.309970595343804,11.032159901887605,9.21565553392376,12.688992242244286,15.299706798258356,14.188864283961191
1397,81.76549654881447,12.221042134114143,14.98222031350745,90.02131591948691,62.16949226018379,76.92586145725191,51.450740166570895
41,9.808788102974571,10.350724659535706,11.059263007309871,9.439619726722908,12.895559027648707,15.64769460711118,14.599500881387698
42,9.967260882777223,10.35511713211283,11.097052903260428,9.640387023861624,13.173514892495962,16.04692925326838,15.0208755730436
1398,81.76985320788324,12.221566579949059,14.98222031350745,90.02194049436538,62.17307250861171,76.92586145725191,51.455855840558044
43,10.052254772211864,10.38155322692393,11.136254082348179,9.73360195222509,13.461630066899426,16.417641374765306,15.427811926873947
44,10.11776215305358,10.394386640541764,11.172644470583352,9.80540344666332,13.705322039036224,16.698828165719227,15.71468683883412
1399,81.81173053721601,12.222091025783977,14.98222031350745,90.02204062340893,62.19284772118787,76.92586145725191,51.4609715145452
1400,81.88266375648233,12.222615471618893,14.98222031350745,90.04535655094854,62.19347229606633,76.9455624838825,51.487981760816275
45,10.221236960090168,10.39833202225858,11.219206346706951,9.918548793031075,13.926245265575469,17.03433197242864,16.05421192406584
46,10.344088590522588,10.449142185805453,11.250359012795379,10.016168274696728,14.208283867728872,17.30366124686571,16.311362184060336
1401,81.88702041555109,12.22313991745381,14.98222031350745,90.04598112582701,62.203936410550355,76.9455624838825,51.493269702072766
47,10.490318144436536,10.503621445732252,11.259621607683759,10.101429390142867,14.3362380321682,17.630714633432707,16.538569012868663
48,10.633285000075151,10.53482058763699,11.267772501154528,10.232556692716699,14.524302349511851,17.95819171313987,16.80069299463404
1402,81.95207498827507,12.223664363288727,14.98222031350745,90.08032524939772,62.2040365395939,76.9455624838825,51.49413417777397
49,10.703215997490052,10.550148486333653,11.277035096042907,10.363851923749415,14.6577522288602,18.304302466490004,16.855333626277492
50,10.839744830765934,10.555770697224329,11.318249151369077,10.561154947176746,14.78048459744377,18.707329904544473,17.053644060093347
1403,81.95643164734383,12.224188809123643,14.98222031350745,90.15531319139333,62.20447669850374,76.94566261292604,51.49423430681752
51,11.122713491809147,10.584745714993721,11.331531871838134,10.593643205244797,14.940931072355994,19.036541944065636,17.242287741527957
52,11.299804987909654,10.589138187570846,11.383570177950848,10.732959383414206,15.007593622839522,19.277767060237743,17.450429621495157
1404,82.14135323228336,12.22471325495856,14.98222031350745,90.15593776627179,62.20457682754729,76.94566261292604,51.50271149811185
53,11.49850095597512,10.630681204906761,11.3884403002621,10.922773785533014,15.217193433446308,19.61936687121925,17.69988328775601
1405,82.16759070956473,12.225237700793476,14.983869622181547,90.32179897759463,62.22021645682145,76.94566261292604,51.53023451149649
54,11.690094284186362,10.661571667393659,11.393310422573355,10.990833441982463,15.426988158838483,19.98859641323205,17.848256093424745
1406,82.1719473686335,12.225762146628394,14.983869622181547,90.42760784922477,62.28630531583849,76.94618705876096,51.54979623703902
55,11.800416651632478,10.674040960108684,11.41019615008246,11.03012752660843,15.601317600505302,20.408009372907976,18.00414188197866
56,11.93807707095735,10.693409444173886,11.42708847424843,11.10876324998424,15.790200639393538,20.80181615577161,18.11950338593865
1407,82.189921312216,12.22628659246331,14.983869622181547,90.52583119902386,62.29425806129791,76.94652708862725,51.563357679108904
57,11.98530225972845,10.710262983372399,11.48832548736264,11.168415489227474,15.889110896733637,21.228151330766927,18.310072070589833
1408,82.27713646008903,12.226811038298226,14.9839697512251,90.58643160604569,62.29469822020775,76.94715166350571,51.573038831289054
58,12.20673748753157,10.715885194263075,11.497140991390712,11.259943189480763,16.12894976627233,21.46044435689785,18.411407199796482
59,12.38636008428394,10.736619593302695,11.52479654558755,11.333094830583402,16.39397892229425,21.701908044084437,18.552716147961174
