Time(Iteration),EpsilonGreedyLinearBanditTheta,UpperConfidenceBoundLinearBanditTheta,ThompsonSamplingLinearBanditTheta
37,0.716795171761983,0.5686288433788602,1.8431992857716346
2021,0.16560326930483282,0.20669782622572902,0.3111152163422326
38,0.7029469369165737,0.5620140171307909,1.7792641613263271
39,0.6878401752114326,0.5593759197587737,1.7831237239303164
2022,0.1653799359514067,0.20632980221177655,0.3484337479721574
40,0.6992413042232214,0.5533319715537293,1.4941439901942326
2023,0.16492531959128537,0.2065147307620992,0.29800272759759283
2024,0.1655061281043621,0.20726728041114137,0.3177511206958554
41,0.6947578074792837,0.547143836698473,1.6643079271861432
2025,0.1657886076417145,0.20775284854244305,0.30602451542131204
42,0.6774039261591274,0.5408706717843363,1.3602930569381013
43,0.6786755312268953,0.5327699372874706,1.5767700150045705
2026,0.1657953504829347,0.2076449671479698,0.33590230724064235
44,0.6854010108921667,0.5186732013868862,1.4915833965211192
45,0.6845430747361965,0.5103615807264987,1.3834458182408071
46,0.684593406111434,0.4876215381788686,1.2670133367145016
2027,0.16583962369120347,0.2073372963296959,0.3015039749721361
47,0.6769802456118599,0.4784041140582482,1.597633214061334
2028,0.16553362962053336,0.20724996973391213,0.3146545381748098
48,0.6785844346312565,0.4769595292597456,1.40005894041968
2029,0.16593727392022423,0.20458244940833398,0.29939351117679947
49,0.6711788463043014,0.4829850349479058,1.381527707074502
2030,0.1651689338396616,0.20421114476115126,0.276143191719335
50,0.6660202393764665,0.4802058171866004,1.356570956630526
2031,0.16502842415462504,0.20402645525954544,0.355704202663417
51,0.6651319159728735,0.47702183097319556,1.280051664104592
2032,0.16492408931500419,0.20349400462547002,0.2805181066720088
52,0.6554412454300319,0.47581742648789016,1.3391683293804841
53,0.6542593733940788,0.47306150844606265,1.2683683102326977
2033,0.16426022727035644,0.2017254741545998,0.3351660432014663
54,0.6584778872929444,0.47225932948096416,1.312328932557537
2034,0.1642253687904715,0.2022645300877318,0.26430193023099874
55,0.6585222985145103,0.46593398610606035,1.3761236932290022
2035,0.16215593115978183,0.2034692065976146,0.30327248871521717
56,0.6533538529348295,0.4642990859088602,1.1874081312422498
2036,0.16218458385474482,0.20341021794944414,0.3255352357006185
57,0.6574263813015719,0.467844738527857,1.3646523488018611
2037,0.16223521487648823,0.203848059783147,0.31667244110122866
58,0.6546045888993939,0.4643185631707367,1.3424848925442776
2038,0.16186352264264459,0.20401210441031253,0.29661774016360143
59,0.6371135311405473,0.46539386786013426,1.3430227345441867
2039,0.161065957363142,0.20287217991134984,0.36184140222604316
60,0.6364165864125207,0.4678976672157444,1.2578915736730505
2040,0.1610293110514122,0.20286042440202307,0.2877776028302942
61,0.6389626359561666,0.47219202317444553,1.0690484984607598
62,0.6309322375854675,0.47029295582985126,1.24578763282821
2041,0.16064909165413263,0.20294190264729264,0.3022558040134587
63,0.6271479741805396,0.4677267290816606,1.2072325206984125
2042,0.16048713725427705,0.20262289428891558,0.3689435841869003
64,0.6232510728423207,0.4656221121575159,1.1352061544837289
2043,0.16067426321691589,0.20240784839638457,0.2966044129616804
65,0.6252632098366993,0.464224606156184,1.2581571709875723
2044,0.16081958044241004,0.20216833194311046,0.28097750030723395
66,0.6291882112791715,0.4645118579777252,1.2645637134485446
67,0.6295081083032148,0.46250485554506593,1.160422487675997
2045,0.1608635256776905,0.2023337764554945,0.313729493323912
68,0.6310748949495874,0.4636815225540262,1.105503322253751
2046,0.1611310679592992,0.20275151186623153,0.35560638241555204
69,0.6288505082801111,0.4630441559562938,1.2594874927444195
2047,0.16136753166880502,0.20280959494956313,0.27678561488462766
70,0.6319451948554212,0.4633731931809427,1.1969051643823356
2048,0.1616561928647795,0.20252388668912108,0.31771685484389744
71,0.6161455059887333,0.4699376853768216,1.3447695834400504
72,0.624462433110639,0.471411441000581,1.1101096737639906
2049,0.16230274275114545,0.20234899880965895,0.28556516604559895
73,0.6231506672640277,0.4651494907848325,1.1252847972321276
2050,0.16260327004768926,0.2016519515951519,0.31713822708685224
74,0.6205997018768581,0.46647584836579836,1.2475498057393053
2051,0.16250181078426032,0.2018748927526824,0.3471090192154492
2052,0.16259149004773574,0.2017645098871021,0.31591410843612766
75,0.6115056234901035,0.4669294794348612,1.1120260574452594
76,0.6157472356333333,0.4612419964773218,1.2168329637823239
77,0.6123298026832796,0.46146883662658744,1.2161140476030883
2053,0.16280344084648732,0.20193157880436807,0.3295604234492709
78,0.6078173224475589,0.4622898350352587,1.2476576110887898
2054,0.16273382484149165,0.20216761484083876,0.2848957438831387
79,0.6116583994326119,0.46093473670138446,1.1051601110248621
2055,0.16340268460847926,0.20195521553228044,0.2539973585416481
80,0.6125100121411381,0.4607687194770305,1.1383129090902286
81,0.6128490056003663,0.4594987286760941,1.3082692148781876
2056,0.16476184483653908,0.20266650185732332,0.3215744734723106
82,0.6122576424026224,0.45775528799359844,1.224465207180028
2057,0.16448475862486808,0.20208167511591918,0.3054447537459818
83,0.601082705545253,0.45415529205129734,1.2946151435455144
2058,0.16424827315290633,0.20155925592178764,0.3034604858600845
84,0.5985610436778104,0.4552888795810288,1.2537871573611286
85,0.6020102752934503,0.4532296193220932,1.1700759906236469
2059,0.1645498674463271,0.20190156530269995,0.314579944910913
86,0.6010055409067874,0.4542761161815208,1.2053969468439454
2060,0.1648888997413715,0.20226370910011396,0.27361961416908187
87,0.5982596673148153,0.4573004496128833,1.1838416190793908
2061,0.16438082441019464,0.20165386340979358,0.32422461560790705
88,0.5991835064791394,0.456269981131872,1.274208822743375
2062,0.16438646953394015,0.20175427794721915,0.266857558964191
