Time(Iteration),EpsilonGreedyLinearBanditTheta,UpperConfidenceBoundLinearBanditTheta,LinTSTheta
237,0.57114669927454,0.6645527025387715,0.7559807467360616
238,0.5712067389041808,0.6645808834331006,0.7559899301314094
239,0.5711436681244006,0.6646251382815614,0.7560070701998538
240,0.571103281529697,0.6647167530093265,0.7560613418405896
241,0.571054491905738,0.6647737976195529,0.756097481622785
242,0.5710981678423208,0.6649506017078376,0.7562064082202049
243,0.5710935567139416,0.664932234617868,0.7562024454806312
244,0.5710994531717624,0.6648760014668599,0.7561683759256319
245,0.5711951728426264,0.6648863752856251,0.7561695914307494
246,0.5710917466717326,0.6648209199630861,0.7561466718131152
247,0.5711972003335777,0.6648042016146389,0.7561421894950072
248,0.5711670182342969,0.6647506591657167,0.7560959211035333
249,0.5711399498612322,0.6646159529328755,0.7560081531740768
250,0.5711119533793154,0.6645590226434337,0.7559854482229111
251,0.5713265451186202,0.6645635791880109,0.7559785307850942
252,0.57133021665205,0.6647518079247298,0.7560721036738921
253,0.5711943609508257,0.6647926126766708,0.7560901822025915
254,0.5712910687954261,0.6648370904352079,0.7561038354388387
255,0.5712623859929222,0.6648442576707497,0.7561025558199598
256,0.5713104399629877,0.6648833942303993,0.7561282805927452
257,0.5713187916784201,0.6647855624485719,0.7560669113336826
258,0.5712722679880098,0.6646135242485768,0.755963578072922
259,0.5712771524527094,0.6645555817958839,0.7559488946013425
260,0.5712328912129498,0.6647062086025424,0.7560299587544004
261,0.5713113026451532,0.6646986565713222,0.7560218602920525
262,0.5713527286924732,0.6647357861371599,0.7560464588608482
263,0.5713210861769211,0.6647877978557291,0.7560535937417449
264,0.5713222302783512,0.6647845880066728,0.756043683812248
265,0.5713519887825693,0.6648192157861756,0.7560500577487896
266,0.5713262830950305,0.6648634938697223,0.756094445023494
267,0.571304447542638,0.6648334320922461,0.7561120418777885
268,0.5712896610890235,0.664829409924568,0.7561041561918842
269,0.5714208665345402,0.6646113454099515,0.7559826592481335
270,0.5715613427799249,0.6646535980772643,0.7560518125509691
271,0.5713923607419236,0.6646019836982479,0.7560140751152574
272,0.571373453647578,0.6645594817458196,0.7559809981849729
273,0.5712683534024754,0.6644800429603899,0.755938749348932
274,0.5712594660796524,0.6644884045547392,0.755948051431483
275,0.5712740847391463,0.6646080581695691,0.7560075485502205
276,0.5713777186971535,0.6646270008981735,0.7560244694317508
277,0.5714563689522716,0.6645572940899354,0.7559742657053731
278,0.5714221338786185,0.6645474378588732,0.7559702167171467
279,0.5713935548488228,0.664470933228607,0.7559374098984598
280,0.5713367441923851,0.6644751916120779,0.7559423212810212
281,0.5713518613211216,0.6644619417390158,0.7559394064297346
282,0.5713823135201037,0.664295006209813,0.7558400246297232
283,0.5713726678950184,0.664200691498072,0.7557841696240566
284,0.5713511649365484,0.6641778684115642,0.7557843217186037
285,0.5714233255292165,0.6641681889694869,0.7557830241216409
286,0.5714700720113746,0.6641519423316906,0.7557544710164514
287,0.5713632833353952,0.6641893430571504,0.7556037990102018
288,0.5713709667826793,0.6641883816997999,0.7555893540862393
289,0.5713377307342418,0.664228317645213,0.7556210975570055
290,0.5713580830107128,0.6641193279583946,0.7555778166437919
291,0.5714418063151308,0.6641746622096104,0.7555880540777405
292,0.5714492506469133,0.6641753950245021,0.755593214004022
293,0.5713810542236357,0.6641565669392159,0.7555952116908475
294,0.5714311836360244,0.6643076139718206,0.755669944932265
295,0.5712882798050022,0.664228849433254,0.7556191104352212
296,0.5712000680977315,0.6642882904950831,0.7556335933882009
297,0.5711839749054006,0.664309030973846,0.7556383220638114
298,0.5712157965711206,0.6642031389750072,0.7555807396196965
299,0.5711933822115994,0.6641751418416529,0.7555695677042483
300,0.571223101242446,0.6641902890066865,0.7555747181241045
301,0.5712256928972362,0.664149429595607,0.7555560388966086
302,0.5711920477121434,0.664134069164707,0.7555283275904132
