Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit
121,20.71884898129828,22.5317720925908,13.271761339165433,6.193046013367334
122,20.823679004544523,22.5317720925908,13.271761339165433,6.193046013367334
123,20.88756998326794,22.5317720925908,13.271761339165433,6.193046013367334
124,21.167246837292545,22.590145058852304,13.271761339165433,6.193046013367334
125,21.292761891102252,22.647151828509053,13.27839752173042,6.296751509729178
126,21.61170434134359,22.647151828509053,13.377351206082608,6.296751509729178
127,21.61170434134359,22.647151828509053,13.434357975739356,6.296751509729178
128,21.65365125603903,22.870434493458994,13.440994158304344,6.296751509729178
129,21.65365125603903,23.006395007206244,13.440994158304344,6.296751509729178
130,21.758481279285274,23.132961462377004,13.440994158304344,6.296751509729178
131,21.934942318563124,23.132961462377004,13.44763034086933,6.296751509729178
132,22.155671516463,23.17490837707244,13.44763034086933,6.296751509729178
133,22.282237971633755,23.3574302005389,13.454266523434317,6.296751509729178
134,22.282237971633755,23.3574302005389,13.454266523434317,6.296751509729178
135,22.818774426197137,23.49339071428615,13.460902705999302,6.296751509729178
136,23.145953806813516,23.53779266558818,13.624105695507051,6.296751509729178
137,23.3317726306685,23.699629458491177,13.630741878072039,6.296751509729178
138,23.517591454523483,23.829323670942607,13.630741878072039,6.413775211267206
139,23.693628796029365,23.893214649666024,13.637378060637024,6.540341666437963
140,23.897969846881644,24.096798778147352,13.637378060637024,6.540341666437963
141,24.021629730984657,24.334143544329862,13.785431115754964,6.540341666437963
142,24.021629730984657,24.50265691419606,13.926847988307916,6.540341666437963
143,24.234367849727537,24.68866070710664,14.121878119866267,6.540341666437963
144,24.234367849727537,24.82186334484238,14.128514302431253,6.540341666437963
145,24.234367849727537,25.00438516830884,14.205531975741824,6.54697784900295
146,24.234367849727537,25.068276147032257,14.205531975741824,6.5889247636983885
147,24.40428485483928,25.068276147032257,14.21216815830681,6.5889247636983885
148,24.570494766289347,25.068276147032257,14.21216815830681,6.5889247636983885
149,24.89058898601037,25.1731061702785,14.275811110528545,6.5889247636983885
150,24.89058898601037,25.591816773712235,14.275811110528545,6.5889247636983885
151,25.05266744863372,25.591816773712235,14.3594649664041,6.7248852774456385
152,25.17818250244343,25.591816773712235,14.3594649664041,6.7248852774456385
153,25.17818250244343,25.65570775243565,14.366101148969088,6.7248852774456385
154,25.17818250244343,25.789798179246095,14.366101148969088,6.7248852774456385
155,25.283012525689678,25.88875186359828,14.408048063664527,6.7248852774456385
156,25.283012525689678,26.092802441055074,14.414684246229513,6.7248852774456385
157,25.353038660179145,26.092802441055074,14.414684246229513,6.7248852774456385
158,25.565776778922025,26.092802441055074,14.414684246229513,6.76928722874767
159,25.607723693617466,26.15644539327681,14.478327198451248,6.76928722874767
160,25.607723693617466,26.25785411423559,14.548353332940717,6.76928722874767
161,25.614359876182455,26.329175360425516,14.548353332940717,6.76928722874767
162,25.832794422045975,26.454690414235227,14.548353332940717,6.76928722874767
163,25.832794422045975,26.454690414235227,14.548353332940717,6.76928722874767
164,25.892231759785794,26.454690414235227,14.590300247636156,6.76928722874767
165,25.956122738509208,26.543882652374727,14.596936430201144,6.76928722874767
166,25.956122738509208,26.543882652374727,14.73326682521756,6.76928722874767
167,26.162338678186735,26.70439613670415,14.73326682521756,6.76928722874767
168,26.26716870143298,26.84484620883301,14.739903007782548,6.76928722874767
169,26.370874197794826,27.05106214851054,14.739903007782548,6.813689180049702
170,26.377510380359816,27.23811198453804,14.746539190347534,6.813689180049702
171,26.503025434169523,27.23811198453804,14.835731428487032,6.813689180049702
172,26.503025434169523,27.4068329865077,14.835731428487032,6.813689180049702
173,26.547427385471554,27.47072396523111,14.842367611052017,6.813689180049702
174,26.732379777021084,27.59729042040187,14.842367611052017,6.813689180049702
175,26.86597396646261,27.714314121939896,14.849003793617005,6.813689180049702
176,26.98299766800064,27.831337823477924,14.849003793617005,6.813689180049702
177,26.989633850565628,27.908355496788495,14.906010563273753,6.813689180049702
178,26.989633850565628,27.908355496788495,14.976036697763224,6.813689180049702
179,27.116200305736385,27.908355496788495,14.976036697763224,6.858091131351735
180,27.25029073254683,27.908355496788495,14.98267288032821,6.858091131351735
181,27.339482970686326,27.914991679353484,15.046563859051625,6.9000380460471735
182,27.464998024496037,27.992009352664052,15.053200041616611,7.004868069293418
183,27.582021726034064,28.0968393759103,15.053200041616611,7.004868069293418
184,27.869300447223416,28.138786290605736,15.059836224181598,7.068759048016832
185,28.067281852757276,28.138786290605736,15.059836224181598,7.068759048016832
186,28.067281852757276,28.24361631385198,15.131157470371525,7.068759048016832
187,28.067281852757276,28.37957682759923,15.131157470371525,7.068759048016832
188,28.111683804059304,28.37957682759923,15.173104385066964,7.068759048016832
189,28.389061190359506,28.37957682759923,15.173104385066964,7.068759048016832
190,28.45295216908292,28.437949793860735,15.17974056763195,7.068759048016832
191,28.523479330371323,28.437949793860735,15.186376750196937,7.068759048016832
192,28.64713921447434,28.437949793860735,15.193012932761922,7.068759048016832
193,28.736331452613836,28.5783998659896,15.193012932761922,7.068759048016832
194,28.93850882347801,28.70391491979931,15.193012932761922,7.068759048016832
195,28.93850882347801,28.914667663664215,15.193012932761922,7.068759048016832
196,28.93850882347801,28.97855864238763,15.193012932761922,7.068759048016832
197,28.93850882347801,29.037995980127448,15.256655884983658,7.068759048016832
198,29.073899463050083,29.141701476489295,15.263292067548644,7.068759048016832
199,29.080535645615072,29.4660069379645,15.263292067548644,7.068759048016832
200,29.15849307436999,29.812443658330086,15.32718304627206,7.068759048016832
201,29.15849307436999,30.069917431996977,15.32718304627206,7.068759048016832
202,29.22851920885946,30.267011048456133,15.333819228837047,7.068759048016832
203,29.6219534962736,30.267011048456133,15.333819228837047,7.068759048016832
204,29.73897719781163,30.33833229464606,15.333819228837047,7.068759048016832
205,29.78337914911366,30.44316231789231,15.333819228837047,7.068759048016832
206,29.974476345580854,30.577252744702754,15.397462181058781,7.068759048016832
207,30.01642326027629,30.682082767948998,15.397462181058781,7.068759048016832
208,30.02305944284128,30.82349964050195,15.43940909575422,7.068759048016832
209,30.145075361324523,30.82349964050195,15.446045278319207,7.068759048016832
210,30.145075361324523,30.912691878641446,15.517366524509134,7.068759048016832
